id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url,duracao,Mean_l,Q0.05,Q0.1,Q0.15,Q0.2,Q0.25,Q0.3,Q0.35,Q0.4,Q0.45,Q0.5,Q0.55,Q0.6,Q0.65,Q0.7,Q0.75,Q0.8,Q0.85,Q0.9,Q0.95,Mediana_r,Mean_r
5QzgT3KU1lk,Star Wars: The Force Unleashed II! Ep 24,2014-05-11T00:45:18Z,A grande vitória dos rebeldes!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,11,2,0,0,https://www.youtube.com/watch?v=5QzgT3KU1lk,278.81,0.05166667862232552,-2417,-1435,-993,-741,-589,-430,-315,-191,-110,23,93,221,318,450,578,776,1025,1466,2413,NA,NA
pIl-_abMKQk,Minecraft! Ep 1,2014-05-11T14:15:23Z,O pior jogador do mundo :(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,39,4,0,0,https://www.youtube.com/watch?v=pIl-_abMKQk,550.92,-0.010768767092620828,-2416,-1294,-748,-475,-363,-223,-182,-137,-30,32,59,87,162,276,336,520,783,1313,2438,NA,NA
tstttVeAiWg,Minecraft! Ep 2,2014-05-11T19:47:12Z,O grito mais escroto da fase da Terra!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,35,3,0,0,https://www.youtube.com/watch?v=tstttVeAiWg,521.9,0.01423393957509427,-2897,-1554,-874,-507,-375,-221,-181,-138,-22,36,59,83,152,280,344,551,913,1625,2943,NA,NA
SQH6_xvk2oE,Minecraft! Ep 3,2014-05-12T00:29:41Z,A pessoa mais sega do mundo!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,26,4,0,0,https://www.youtube.com/watch?v=SQH6_xvk2oE,555.12,0.015320824026036413,-2807,-1516,-897,-596,-419,-279,-195,-151,-56,32,66,108,227,308,417,593,927,1553,2792,NA,NA
acYJC8zXIrY,VLOG: Video especial (50),2014-05-16T00:10:07Z,Meu primeiro vlog,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,48,3,0,0,https://www.youtube.com/watch?v=acYJC8zXIrY,20.5,0.22031737900078063,-2973,-2218,-1744,-1382,-1083,-826,-603,-394,-191,-11,167,365,576,809,1069,1368,1734,2222,3017,NA,NA
0dJftLxqbMA,VLOG: Esperando o professor em um curso novo.,2014-05-16T00:14:17Z,A sala mais loca do mundo!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,72,3,0,0,https://www.youtube.com/watch?v=0dJftLxqbMA,13.61,0.5237988070742701,-2905,-2050,-1544,-1188,-912,-682,-478,-305,-141,5,137,312,504,700,925,1199,1549,2056,2915,NA,NA
jAHmgZxN9vU,VLOG: A chatice aumenta!,2014-05-16T00:34:37Z,Re mostrando a sala,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,113,5,0,NA,https://www.youtube.com/watch?v=jAHmgZxN9vU,56.95,-0.07254061900079599,-2768,-1991,-1533,-1195,-933,-706,-507,-333,-160,10,162,330,520,716,938,1202,1526,1989,2777,NA,NA
uDfVr-HzeLs,Minecraft! Ep 4,2014-05-16T22:53:25Z,Encontrando a vila!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,20,2,0,0,https://www.youtube.com/watch?v=uDfVr-HzeLs,539.64,0.05948935092530823,-2680,-1431,-861,-568,-411,-265,-192,-152,-57,33,65,101,214,303,386,572,873,1499,2709,NA,NA
6J-IWaex9BA,Minecraft! Ep 5,2014-05-17T14:24:48Z,Estou sem ideias!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,9,2,0,0,https://www.youtube.com/watch?v=6J-IWaex9BA,545.9,0.050693589593286244,-2325,-1314,-849,-606,-435,-320,-208,-162,-63,30,68,129,261,320,460,591,851,1338,2298,NA,NA
U9yZ7kXid-A,Minecraft! Ep 6,2014-05-17T20:02:59Z,Gato maldito!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,16,2,0,0,https://www.youtube.com/watch?v=U9yZ7kXid-A,516.19,-0.046687367943194266,-2595,-1467,-937,-670,-473,-386,-234,-175,-87,28,75,169,284,353,522,691,984,1514,2564,NA,NA
